Glitchless	无漏洞
No logic	无逻辑
Closed	关闭
Closed Deku	仅关闭德库树
Song only	仅需歌曲
Closed as child	少年时期关闭
Fast	快速
Always open	始终开放
Stones	精灵石
Medallions	徽章
Dungeon rewards	迷宫奖励
Tokens	代币
Standard Rewards	标准奖励
Greg as Reward	格雷格计为奖励
Greg as Wildcard	格雷格作为替代
Skip	跳过
Set Number	指定数量
Random Number	随机数量
Selection	自行选择
On + Ganon	开启并包含加侬
Age Restricted	限制年龄
Full	完全打乱
Simple	简单
On + Bombchu	开启并包含炸弹鼠
No Drop	不掉落
No Refill	不补充
End of dungeons	迷宫终点
Any dungeon	任意迷宫
Overworld	地面区域
Anywhere	任意地点
Dungeon Reward	迷宫奖励
Advancement	推进流程的物品
Anything	任何物品
Nothing	无物品
Song Locations	歌曲地点
0 Items	0 件物品
1 Item	1 件物品
2 Items	2 件物品
3 Items	3 件物品
4 Items	4 件物品
Balanced	均衡
Starter Wallet	初始钱包
Adult Wallet	成人钱包
Tycoon's Wallet	大富豪钱包
All Tokens	全部徽章
Affordable	便宜
Expensive	昂贵
Random Prices	随机价格
On (no hints)	开启（无提示）
On (with hints)	开启（有提示）
Start With	开局拥有
Own Dungeon	所属迷宫
Any Dungeon	任意迷宫
Own dungeon	所属迷宫
Start with	开局拥有
LACS-Vanilla	光之箭过场：原版
LACS-Stones	光之箭过场：精灵石
LACS-Medallions	光之箭过场：徽章
LACS-Rewards	光之箭过场：奖励
LACS-Dungeons	光之箭过场：迷宫
LACS-Tokens	光之箭过场：代币
100 GS Reward	100 枚徽章奖励
Standard Reward	标准奖励
Count	数量
No Hints	无提示
Need Nothing	无要求
Obscure	隐晦
Ambiguous	模糊
Useless	无用
Strong	较强
Very Strong	很强
Day	白天
Night	夜晚
Plentiful	充裕
Scarce	稀少
Minimal	极少
Extra	额外
Mayhem	混乱
Onslaught	全面冰冻
Floating	悬浮
Window	窗口
Combo Button Hold	按住组合按键
C-Up	C 上
C-Down	C 下
C-Left	C 左
C-Right	C 右
L Button	L 键
Z Button	Z 键
R Button	R 键
D-Up	方向键上
D-Down	方向键下
D-Left	方向键左
D-Right	方向键右
No Numbers	不显示数字
Current Capacity	当前容量
Current Ammo	当前弹药
Current Capacity / Max Capacity	当前容量／最大容量
Current Ammo / Current Capacity	当前弹药／当前容量
Collected / Max	已收集／最大数量
Current / Collected / Max	当前／已收集／最大数量
Current / Max	当前／最大数量
Collected / Required	已收集／所需数量
Collected / Required / Max	已收集／所需／最大数量
Main Window	主窗口
Separate	独立
Misc Window	杂项窗口
Original (4:3)	原始（4:3）
Widescreen (16:9)	宽屏（16:9）
Nintendo 3DS (5:3)	Nintendo 3DS（5:3）
Ultrawide (21:9)	超宽屏（21:9）
Native N64 (240p)	N64 原生（240p）
Full HD (1080p)	全高清（1080p）
OGC Great Fairy Fountain -> Castle Grounds	加侬城堡外大妖精泉 -> 城堡庭院
GV Carpenter Tent -> GV Fortress Side	格鲁德谷木匠帐篷 -> 谷地要塞侧
Ganon's Castle Entryway -> Castle Grounds From Ganon's Castle	加侬城堡入口 -> 来自加侬城堡的城堡庭院
HC Great Fairy Fountain -> Castle Grounds	海拉鲁城堡大妖精泉 -> 城堡庭院
HC Storms Grotto -> Castle Grounds	海拉鲁城堡风暴地洞 -> 城堡庭院
Dodongos Cavern	多东哥洞窟
Jabu Jabus Belly	加卜加卜肚子里
Milk	牛奶
Half Milk	半瓶牛奶
Randomize Settings	随机设置
Forest	森林
Kakariko Gate	卡卡利科大门
Door of Time	时之门
Rainbow Bridge	彩虹桥
Stone Count	精灵石数量
Medallion Count	徽章数量
Reward Count	奖励数量
Dungeon Count	迷宫数量
Token Count	代币数量
Bridge Reward Options	彩虹桥奖励选项
Random Ganon's Trials	随机加侬试炼
Trial Count	试炼数量
Starting Age	初始年龄
Shuffle Entrances	打乱入口
Dungeon Entrances	迷宫入口
Boss Entrances	首领入口
Overworld Entrances	地面区域入口
Interior Entrances	室内入口
Grottos Entrances	地洞入口
Owl Drops	猫头鹰落点
Overworld Spawns	地面出生点
Bombchus in Logic	炸弹鼠纳入逻辑
Ammo Drops	弹药掉落
Heart Drops and Refills	红心掉落与恢复
Triforce Hunt Total Pieces	三角力量碎片总数
Triforce Hunt Required Pieces	所需三角力量碎片数
MQ Dungeon Count	大师模式迷宫数量
Set Dungeon Types	设置迷宫类型
Master Quest	大师模式
Jabu-Jabu's Belly	加卜加卜肚子里
Training Grounds	训练场
Shuffle Dungeon Rewards	打乱迷宫奖励
Link's Pocket	林克的口袋
Shuffle Songs	打乱歌曲
Song locations	歌曲地点
Shopsanity	商店打乱
Shopsanity Prices	商店随机价格
Starting Wallet	初始钱包
Affordable Prices	可负担价格
Tokensanity	徽章打乱
Scrub Shuffle	德库商人打乱
Shuffle Cows	打乱牛的奖励
Shuffle Kokiri Sword	打乱科奇里之剑
Shuffle Master Sword	打乱大师之剑
Shuffle Ocarinas	打乱笛子
Shuffle Weird Egg	打乱奇怪的蛋
Shuffle Gerudo Card	打乱格鲁德会员卡
Shuffle Magic Beans	打乱魔法豆
Shuffle Merchants	打乱商人
On (No Hints)	开启（无提示）
On (With Hints)	开启（有提示）
Shuffle Frog Song Rupees	打乱青蛙歌曲卢比
Shuffle Adult Trade	打乱成年交易
Shuffle Chest Minigame	打乱宝箱小游戏
On (Separate)	开启（分开）
On (Pack)	开启（打包）
Shuffle 100 GS Reward	打乱 100 枚徽章奖励
Maps/Compasses	地图／罗盘
Small Keys	小钥匙
Gerudo Fortress Keys	格鲁德要塞钥匙
Boss Keys	首领钥匙
Ganon's Boss Key	加侬首领钥匙
LACS Reward Options	光之箭过场奖励选项
Key Rings	钥匙串
Keyring Dungeon Count	钥匙串迷宫数量
GTG	格鲁德训练场
Skip Child Stealth	跳过少年潜行
Don't Skip	不跳过
Skip Tower Escape	跳过城堡逃脱
Skip Epona Race	跳过艾波娜赛马
Minigames repetitions	小游戏重复次数
Skip Scarecrow's Song	跳过稻草人之歌
Four Poes Cutscene	四姐妹幽灵过场
Lake Hylia Owl	海利亚湖猫头鹰
Big Poe Target Count	大幽灵目标数量
Cuccos to return	需要找回的咕咕鸡
King Zora Speed	卓拉王移动速度
Complete Mask Quest	完成面具任务
Enable Glitch-Useful Cutscenes	保留有助于漏洞的过场
Quick Text	快速文本
0: Vanilla	0：原版
1: Skippable	1：可跳过
2: Instant	2：瞬间
3: Turbo	3：极速
Skip Song Replays	跳过歌曲重放
Skip (No SFX)	跳过（无音效）
Skip (Keep SFX)	跳过（保留音效）
Keep FW Warp Point	保留法罗之风传送点
Fast Bunny Hood	加速兔子头巾
Gossip Stone Hints	闲话石提示
Hint Clarity	提示清晰度
Hint Distribution	提示分布
ToT Altar Hint	时之神殿祭坛提示
