Allows controller navigation of the SOH menu bar (Settings, Enhancements,...)\nCAUTION: This will disable game inputs while the menubar is visible.\n\nD-pad to move between items, A to select, and X to grab focus on the menu bar	允许用手柄操作设置、增强等菜单。\n注意：菜单栏显示时，游戏操作会暂停接收输入。\n\n方向键移动，A 键选择，X 键聚焦菜单栏。
Buffers your inputs to be executed a specified amount of frames later	将输入缓冲指定帧数后再执行。
Resolution scale. Multiplies output resolution by this value, on each axis relative to window size.\nLower values may improve performance.\nValues above 100% can be used for super-sampling, as an intensive but highly effective form of anti-aliasing.\n\nDefault: 100%	相对于窗口大小，按比例调整两个方向的渲染分辨率。降低可改善性能，超过 100% 可进行超采样抗锯齿，但开销较大。\n默认：100%
Activates MSAA (multi-sample anti-aliasing) from 2x up to 8x, to smooth the edges of rendered geometry.\nHigher sample count will result in smoother edges on models, but may reduce performance.\n\nRecommended: 2x or 4x	开启 2 至 8 倍多重采样抗锯齿，平滑模型边缘。采样越高，画面越平滑，但性能可能降低。\n建议：2 倍或 4 倍。
Uses Matrix Interpolation to create extra frames, resulting in smoother graphics.\nThis is purely visual and does not impact game logic, execution of glitches etc.\nHigher frame rate settings may impact CPU performance.\n\n 	通过矩阵插值生成额外画面帧，使显示更流畅。仅影响画面，不改变游戏逻辑或漏洞操作。较高帧率可能增加 CPU 开销。\n\n 
Uses Matrix Interpolation to create extra frames, resulting in smoother graphics.\nThis is purely visual and does not impact game logic, execution of glitches etc.\nHigher frame rate settings may impact CPU performance.	通过矩阵插值生成额外画面帧，使显示更流畅。仅影响画面，不改变游戏逻辑或漏洞操作。较高帧率可能增加 CPU 开销。
Matches interpolation value to the game window's current refresh rate.	将插值帧率与游戏窗口所在屏幕的刷新率匹配。
(For DirectX backend only)\n\nWhen Interpolation FPS (Frame Rate) setting is at least this threshold, add one frame of delay (e.g. 16.6 ms for 60 FPS) in order to avoid jitter.This setting allows the CPU to work on one frame while GPU works on the previous frame.\nThis setting should be used when your computer is too slow to do CPU + GPU work in time.	仅适用于 DirectX。插值帧率达到此阈值时，增加一帧延迟以减少抖动，例如 60 帧时增加 16.6 毫秒。这样 CPU 处理当前帧时，GPU 可处理上一帧，适用于两者无法在一帧内完成工作的情况。
Changes the scaling of the ImGui menu elements.	调整菜单界面元素的显示比例。
Activate vertical sync, to prevent screen tearing.	启用垂直同步，防止画面撕裂。
