Crowd Control is a platform that allows viewers to interact with a streamer's game in real time.\n\nClick the question mark to copy the link to the Crowd Control website to your clipboard.	Crowd Control 让观众实时与主播的游戏互动。\n\n点击问号，将 Crowd Control 网站链接复制到剪贴板。
stat	统计项
Included	包含
Excluded	排除
Custom Ocarina Controls	自定义笛子操作
Notes	音符
Modifiers	修饰键
D-pad	方向键
Right stick	右摇杆
General margins settings	通用边距设置
Hearts counts settings	红心数量设置
Magic meter settings	魔力槽设置
Visual stone of agony settings	可视苦闷石提示设置
DPad items settings	方向键物品设置
Enemy Health Bar settings	敌人生命条设置
Area Access	区域通行
World Settings	世界设置
Shuffle Items	打乱物品
Shuffle NPCs & Merchants	打乱角色与商人
Shuffle Dungeon Items	打乱迷宫物品
Timesavers	节省时间
Item Pool & Hints	物品池与提示
Additional Features	其他功能
Disabled Tricks	已禁用技巧
Enabled Tricks	已启用技巧
Starting Equipment	初始装备
Starting Items	初始物品
Starting Songs	初始歌曲
General settings	通用设置
Section settings	分区设置
Press - to access enhancements menu	按 - 键打开增强菜单
Press F1 to access enhancements menu	按 F1 打开增强菜单
